id,index,energy,tempo,roughness,pleasantness,arousal,sensationTags,emotionTags,metaphors,usageExamples,sensationD1 (Complexity),sensationD2 (Continuity),sensationD3 (Roughness),sensationD4 (Duration),emotionD1 (Agitation),emotionD2 (Liveliness),emotionD3 (Strangeness),"metaphorD1 (onoff, nuanced/ongoing, repetitive)",metaphorD2 (natural vs mechanical),UsageD1 (awareness/attentiondemand)
v-09-18-4-18,76,1.153846154,0.769230769,0,0.769230769,1.461538462,"discontinuous,bumpy,dynamic,regular","comfortable,happy,lively,interesting,unique,rhythmic","beep,horn,alarm,game,nature,animal,tapping","start,get ready,milestone,encouragement,running out of time,speed up,warning,reminder,battery low,below intended threshold,above intended threshold,pause,slow down",0.08392,-0.23331,-0.25559,0.0016856,-0.23533,0.48133,-0.12949,-0.17248,0.17721,-0.1137
v-09-18-4-22,77,-1.076923077,-1.846153846,-1.769230769,1.230769231,-2.153846154,"smooth,regular,discontinuous,dynamic,ramping down,simple,soft,long","sad,calm,natural,unique,familiar,boring,predictable","breathing,pulsing,hearbeat","pause,get ready,battery low",-0.18702,0.10034,-0.23816,0.015161,-0.33179,-0.30663,0.13243,-0.069513,-0.21374,-0.48081
v-09-18-4-56,78,-0.090909091,-0.727272727,-0.727272727,-0.727272727,-0.090909091,"long,smooth transition,ticklish","creepy,strange,uncomfortable,agitating","coming or going,alarm,sliding","alarm,get ready",-0.037111,0.28832,0.0073734,0.18838,0.23472,0.042533,0.48055,0.1561,0.35361,0.042823
v-09-23-6-24,79,-0.777777778,0.888888889,-0.111111111,-1,1.111111111,"continuous,dynamic,ramping up","annoying,mechanical,strange,creepy,urgent,sad","animal,engine,sliding,coming or going","alarm,slow down,warning,cooldown",0.26722,0.53968,-0.08781,0.13383,0.35221,-0.15692,0.24936,0.48005,-0.12992,0.01252
v-09-26-1-39,80,-1.153846154,-1,-2.076923077,1,-2.153846154,"discontinuous,smooth,regular,simple,ramping up,flat,soft,grainy","sad,calm,pleasant,comfortable,strange",pulsing,"slow down,battery low,pause,get ready,warmup,cooldown",-0.31724,0.091214,-0.089253,0.12462,-0.42422,-0.053768,0.32789,0.045842,-0.21418,-0.4578
v-10-09-1-1,81,-1.818181818,1.39E-17,-1.272727273,1,-1.454545455,"irregular,discontinuous,pointy,soft","comfortable,mechanical,rhythmic,calm","tapping,drums","milestone,cooldown,interval/rep,pause",0.087652,-0.11344,-0.094566,-0.21703,-0.19771,-0.092993,-0.24056,-0.4064,-0.24713,-0.37006
v-10-09-1-11,82,-1,-1.111111111,-1.555555556,1.111111111,-1.333333333,"smooth,discontinuous,bumpy,complex","pleasant,calm,comfortable,unique,natural,rhythmic,interesting",pawing,"encouragement,reminder,milestone,above intended threshold,incoming msg,below intended threshold",0.085582,-0.1458,-0.26676,-0.30252,-0.42168,0.21865,-0.014061,0.11738,-0.17644,-0.080585
v-10-09-1-12,83,1.153846154,0.461538462,1.538461538,1.076923077,1.153846154,"discontinuous,irregular,rough","comfortable,mechanical,lively,rhythmic,agitating","alarm,musical instruments,game","overtime,running out of time,speed up,encouragement,above intended threshold,below intended threshold,alarm,milestone,warmup,cooldownwarm up/cool down",0.24688,-0.259,0.23399,0.011374,0.045379,0.16883,-0.28285,-0.097927,0.49798,0.3236
v-10-09-1-14,7,0.333333333,0.666666667,-0.75,1.083333333,1.416666667,"dynamic,discontinuous,long,complex,smooth","lively,unique,interesting,mechanical,comfortable,rhythmic,happy","phone,musical instruments,drums,beep,music,singing,celebration","encouragement,speed up,finish,alarm,milestone",0.22315,0.065452,-0.27872,-0.031011,-0.087672,0.32958,-0.21929,-0.10962,0.19207,0.26832
v-10-09-1-16,84,-0.857142857,-0.285714286,-0.428571429,0.071428571,0.142857143,"ramping up,dynamic,regular,discontinuous,smooth","mechanical,calm,comfortable",engine,"below intended threshold,speed up,alarm,running out of time,above intended threshold",0.020467,-0.019692,-0.32953,0.17342,-0.1982,-0.23201,-0.091063,0.50451,-0.24995,0.44946
v-10-09-1-20,85,-1,-2.416666667,-1,0.083333333,-0.916666667,"long,dynamic,simple,flat,smooth,ramping up,regular,continuous,soft","strange,sad,predictable,calm","snoring,nature","battery low,slow down,below intended threshold",-0.2208,0.43801,-0.23502,0.10102,-0.22584,-0.35417,0.38275,0.1935,-0.078441,-0.24508
v-10-09-1-8,86,-1.153846154,-0.769230769,-1.230769231,-0.538461538,0.307692308,"ramping up,smooth,soft,regular,long","predictable,mechanical","buzz,animal,celebration","below intended threshold,speed up,alarm,warning,above intended threshold,running out of time,overtime,get ready,reminder",-0.30085,0.25932,-0.42852,0.28057,0.15494,-0.43382,-0.19124,0.26752,-0.064806,0.22176
v-10-09-5-0,87,1.888888889,3,0.777777778,-0.222222222,1.666666667,"bumpy,rough,simple,dynamic,discontinuous,regular","urgent,mechanical,agitating,predictable","alarm,tapping","overtime,alarm,finish,running out of time,above intended threshold,one minute left,warning",-0.035483,-0.13216,0.023846,0.0078471,0.37962,-0.27108,-0.091001,-0.36397,0.1183,0.36838
v-10-09-5-2,88,2.454545455,1.363636364,1.181818182,0.363636364,2.545454545,"regular,discontinuous,bumpy","lively,energetic,attention-catching,mechanical,rhythmic,annoying","tapping,morse code","warning,running out of time,speed up,alarm,above intended threshold,interval/rep,get ready,one minute left",-0.13807,-0.37954,-0.21074,-0.015712,0.20134,0.13866,-0.35525,-0.36364,-0.28313,0.19013
v-10-09-5-4,89,2.545454545,0.545454545,1.454545455,-0.818181818,2.181818182,"rough,simple","mechanical,urgent,predictable,strange","alarm,bell,electric shock","above intended threshold,finish,one minute left,overtime,running out of time,warmup,alarm",-0.20889,0.15196,0.51996,0.041646,0.27946,-0.27729,0.16196,0.067285,0.41442,0.38935
v-10-09-5-7,90,1.833333333,2.833333333,2.5,-1,2.583333333,"discontinuous,grainy,regular,rough,irregular,short,ticklish","urgent,annoying,agitating,mechanical,fear","electric shock,gun,beep,game","overtime,warning,above intended threshold,speed up,finish,alarm,below intended threshold,interval/rep",0.0255,-0.18114,0.24435,0.14582,0.5015,-0.1375,-0.050591,-0.029825,0.20681,0.32118
v-10-10-1-10,8,1.166666667,-0.833333333,0.75,1.333333333,1.166666667,"smooth,regular","pleasant,comfortable,calm,boring,predictable,familiar,natural,rhythmic",,"slow down,warning,above intended threshold,halfway",-0.34458,0.027408,-0.42115,0.17235,-0.4646,-0.20146,-0.14386,0.20274,-0.29397,-0.050254
v-10-10-1-18,91,1.363636364,1.181818182,0.090909091,0.454545455,1.272727273,"discontinuous,regular","rhythmic,lively,happy,energetic,attention-catching,unique,predictable,mechanical","morse code,alarm,beep,game,hearbeat,poking","warning,reminder,battery low,one minute left,milestone,get ready",-0.18831,-0.39739,-0.15225,0.16856,0.027908,0.15918,-0.2946,-0.21692,0.27993,-0.35207
v-10-10-1-21,92,2.357142857,1.142857143,1.857142857,-1.5,2.285714286,"discontinuous,rough,ramping up,dynamic","agitating,urgent,annoying,uncomfortable,mechanical,unique,interesting,strange,surprising","phone,alarm,riding","speed up,running out of time,overtime,finish,alarm,warning,below intended threshold,above intended threshold,interval/rep,one minute left,confirmation",0.27748,-0.036024,0.07229,0.21991,0.38514,0.13911,0.26557,0.033679,0.43192,0.29159
v-10-10-1-5,93,1.615384615,0.153846154,-0.153846154,-0.153846154,0.692307692,"ramping up,dynamic,discontinuous,smooth,regular","urgent,agitating,strange","sliding,coming or going,alarm,game","alarm,overtime,speed up,warmup,interval/rep,encouragement",0.020467,-0.019692,-0.32953,0.17342,0.34235,0.061326,0.41882,0.09033,0.41243,0.26034
v-10-18-11-11,9,2.916666667,2.25,1.75,-1.833333333,2.916666667,"ramping down,discontinuous,rough,simple,short","mechanical,urgent,angry,strange,annoying,uncomfortable,surprising","phone,alarm,beep,game","finish,overtime,alarm,one minute left,above intended threshold,below intended threshold,battery low",-0.17412,-0.074033,0.40107,-0.099575,0.44551,-0.066265,0.24356,-0.13294,0.52276,0.23527
v-10-21-2-48,94,2.333333333,0.416666667,2.583333333,-1.583333333,2.416666667,"discontinuous,rough,grainy,dynamic,short,firm","urgent,annoying,uncomfortable,agitating,fear,angry,mechanical","musical instruments,drums,cymbal,explosion tapping","alarm,running out of time,overtime,finish,interval/rep,warning",0.18986,-0.069363,0.30916,0.035282,0.50509,-0.11599,-0.013441,-0.058739,0.05621,0.2945
v-10-21-3-11,95,1.923076923,2.076923077,0.769230769,1.076923077,2.076923077,"discontinuous,regular,simple,grainy,bumpy","happy,lively,energetic,comfortable,pleasant,familiar,natural,strange","tapping,game","start,one minute left,running out of time,speed up,warning,alarm,finish,milestone,resume,overtime,warmup,cooldown,confirmation",-0.23777,-0.20283,0.036263,0.0077837,-0.36926,0.19406,0.058498,-0.38073,-0.10866,0.11082
v-10-21-3-17,96,2.916666667,1.25,2.416666667,-0.25,2.916666667,"irregular,rough,discontinuous,complex","urgent,agitating,mechanical,unique,angry","buzz,alarm","overtime,interval/rep,alarm,running out of time,finish,reminder",0.34221,-0.18125,0.1776,-0.039528,0.42563,0.047494,0.021417,0.11877,0.38873,0.25697
v-10-21-3-2,97,0.444444444,1.111111111,-0.666666667,0.777777778,0.444444444,"bumpy,discontinuous,short,regular,dynamic","interesting,attention-catching,strange","beep,clock","reminder,get ready,incoming msg,resume,milestone,warmup,one minute left,battery low,warning",0.01641,-0.19192,-0.107,-0.12309,-0.031319,0.20795,0.41708,-0.13455,0.0062208,-0.3818
v-10-21-3-21,98,0.384615385,0.384615385,1,0.538461538,0.384615385,"short,ramping down,flat","boring,comfortable,calm",,interval/rep,-0.19218,0.24909,0.26467,-0.17678,-0.45693,-0.22073,0.066455,0.20274,-0.29397,-0.17377
v-10-21-3-30,99,-0.333333333,1.666666667,0.583333333,-0.666666667,0.666666667,"simple,continuous,short","strange,mechanical,annoying,uncomfortable","beep,buzz,electric shock,alarm","battery low,milestone,warmup,resume,incoming msg,warning",-0.32801,0.4367,0.41267,-0.32,0.35971,-0.17051,0.24513,0.023005,0.37976,-0.36889
v-10-21-3-33,100,-0.307692308,2.076923077,0.153846154,0.307692308,0.307692308,"spiky,bumpy,simple,regular,short,discontinuous","lively,pleasant,comfortable,unique,interesting","tapping,beep,poking,clock","get ready,resume,pause,milestone,incoming msg,confirmation,warning,reminder,battery low,warmup,cooldown",-0.29769,-0.21984,0.092245,-0.20946,-0.31757,0.40402,0.015549,-0.40007,-0.16354,-0.47623
v-10-21-3-39,101,1.916666667,2.333333333,2.583333333,-1.666666667,2.666666667,"short,rough,discontinuous,firm","urgent,agitating,uncomfortable,angry,mechanical,annoying,fear","alarm,game,fail game,gun,electric shock","warning,above intended threshold,overtime,alarm,battery low,below intended threshold,finish,resume,pause",-0.008967,-0.20921,0.37638,-0.06964,0.50509,-0.11599,-0.013441,0.038914,0.39663,0.04099
v-10-21-3-4,102,2.5,2.857142857,0.285714286,-0.928571429,2.642857143,"ramping up,short,discontinuous,spiky,dynamic","urgent,agitating,lively,energetic,fear,angry,uncomfortable,annoying,surprising","tapping,jumping,musical instruments,drums,coming or going,SOS,celebration,gun,alarm,poking","speed up,running out of time,warning,one minute left,reminder,above intended threshold,below intended threshold,milestone,encouragement,resume,alarm",0.14347,-0.046326,0.077985,-0.078405,0.37936,0.18951,0.030698,-0.16458,0.14936,0.13253
v-10-21-3-45,103,2.916666667,2.083333333,2.75,-1.166666667,2.833333333,"discontinuous,rough,regular,complex","agitating,rhythmic,urgent,uncomfortable,annoying,mechanical,lively","alarm,phone,musical instruments,drums,game,celebration","finish,overtime,running out of time,alarm,above intended threshold,below intended threshold,interval/rep,encouragement",0.028912,-0.28337,0.0082883,0.19219,0.40521,0.10143,-0.22265,-0.099364,0.46219,0.38888
v-10-21-3-7,104,0.461538462,1.307692308,-0.230769231,0.230769231,0.769230769,"dynamic,continuous,complex,bumpy","surprising,unique,agitating,strange","engine,getting close,coming & going,sliding","alarm,warning,speed up,running out of time,finish,above intended threshold,below intended threshold,start,get ready,milestone",0.32525,0.32254,-0.15387,-0.23924,0.17859,0.24801,0.53551,0.35114,-0.09477,0.2126
v-10-23-1-10,105,3,1.777777778,1.777777778,-1.666666667,2.666666667,"discontinuous,ramping down,ramping up,rough,dynamic,irregular,firm,long","urgent,mechanical,uncomfortable,annoying,lively,rhythmic,surprising","coming or going,phone,alarm,horn,beep","alarm,overtime,get ready,running out of time",0.2749,0.062637,0.078337,0.18273,0.3644,0.12876,-0.17957,0.021781,0.42292,0.26671
v-10-23-1-16,106,2.555555556,2,2.222222222,-1.444444444,2.777777778,"discontinuous,rough,short,spiky,complex,firm","annoying,urgent,agitating,uncomfortable,surprising","phone,alarm,SOS,horn,game,beep,poking","overtime,warning,running out of time,speed up,finish,alarm,above intended threshold",0.090627,-0.19228,0.32201,-0.14886,0.45691,0.041684,0.20981,-0.12535,0.43409,0.43497
v-10-23-1-21,107,-0.071428571,-0.285714286,0.428571429,0.142857143,0.428571429,"rough,grainy,dynamic,continuous,ramping up,smooth,bumpy","mechanical,boring,predictable,annoying,urgent,interesting","coming or going,engine,snoring,something moving,something rolling,sliding","one minute left,speed up,running out of time,warning,above intended threshold,below intended threshold,battery low,milestone,halfway",0.17688,0.32864,-0.020688,0.14186,0.24897,-0.26112,-0.073849,0.40147,-0.080129,0.045484
v-10-23-1-23,108,0.818181818,-0.363636364,1.727272727,-0.272727273,0.727272727,"grainy,rough,discontinuous,firm",mechanical,"engine,electric shock,snoring,coming or going,stopping,growl,chainsaw,a door closing","finish,interval/rep,warmup,warning",0.075114,-0.22547,0.34153,0.1925,0.25913,-0.24314,-0.201,0.35598,-0.056513,-0.044253
v-10-23-1-24,109,2.5,0.916666667,1.333333333,-0.583333333,1.5,"rough,grainy,dynamic,complex,ramping up,continuous,ticklish","angry,mechanical,agitating,urgent,annoying,uncomfortable,fear,interesting,unique,funny,surprising","engine,gun,buzz,animal,coming or going,celebration","running out of time,finish,speed up,alarm,get ready,encouragement",0.33743,0.37986,0.18338,0.26769,0.39563,0.1379,0.11235,0.45213,-0.088008,0.30845
v-10-28-7-22,110,3,1.555555556,1,-0.111111111,2.333333333,"complex,discontinuous,dynamic,irregular,long","urgent,mechanical,rhythmic,agitating,unique,fear,interesting","SOS,alarm,beep,tapping,drums","running out of time,overtime,finish,speed up,above intended threshold,alarm,get ready,incoming msg",0.39714,-0.011312,-0.10259,-0.034186,0.31275,0.20154,-0.10622,-0.35728,0.19407,0.33207
v-10-28-7-23,111,1.714285714,1,2.5,-1.428571429,2.642857143,"rough,grainy,discontinuous,irregular","annoying,urgent,agitating,uncomfortable,angry,mechanical,rhythmic,surprising","alarm,tapping","alarm,running out of time,overtime,finish,one minute left,warmup",0.23935,-0.19356,0.30101,0.14285,0.4589,0.034965,-0.071501,-0.36397,0.1183,0.35555
v-10-28-7-26,112,-0.076923077,0.692307692,0.461538462,-0.692307692,0.538461538,"irregular,dynamic,spiky,rough,discontinuous","strange,surprising,unique","pawing,animal,nature","speed up,encouragement",0.34565,-0.19035,0.1484,-0.025027,0.049987,0.23569,0.56845,0.20145,-0.14655,0.1329
v-10-28-7-29,10,-0.777777778,0.333333333,1.111111111,-0.888888889,0.777777778,"irregular,grainy,bumpy","mechanical,annoying,strange,predictable","riding,coming or going,engine","warning,alarm,warmup,cooldown",0.24419,-0.0023235,0.098915,-0.12383,0.2428,-0.35481,0.17831,0.45054,-0.102,0.049785
v-10-28-7-31,113,-1.555555556,-0.555555556,-1,0.555555556,-1.222222222,"regular,soft,discontinuous,simple,grainy,flat","familiar,calm,boring,predictable,pleasant,comfortable,rhythmic,unique","walking,tapping,clock","battery low,slow down,warning,reminder",-0.35877,-0.049183,0.029498,0.071059,-0.42428,-0.10622,-0.082025,-0.32717,-0.29056,-0.35347
v-10-28-7-33,114,1.538461538,1.846153846,0.384615385,-0.153846154,0.461538462,"ramping down,discontinuous,irregular,dynamic,grainy","strange,comfortable,lively,mechanical","buzz,engine","speed up,above intended threshold,encouragement,running out of time",0.3258,-0.054807,0.040053,0.02442,-0.049936,0.09185,0.077725,0.46833,-0.1315,0.34114
v-10-28-7-35,115,0.833333333,-0.583333333,-0.333333333,-0.333333333,0.333333333,"simple,continuous,regular,ramping down,smooth,long,flat,soft","sad,comfortable,familiar,calm","buzz,animal,fog horn","finish,interval/rep,overtime,get ready,congratulations,reminder",-0.43277,0.38845,-0.17651,0.028059,-0.47607,-0.16929,0.069604,0.27389,-0.097103,-0.080084
v-10-28-7-36,116,0.583333333,0.25,2.75,-1.25,1.666666667,"grainy,simple,flat,regular,continuous,long,rough","agitating,urgent,boring,predictable,annoying,uncomfortable,mechanical,fear","buzz,electric shock,engine,snoring,phone,animal","overtime,finish,alarm,get ready,incoming msg",-0.28069,0.24921,0.2503,0.31126,0.3768,-0.3243,-0.020907,0.41756,-0.00046662,0.15621
v-10-29-4-20,117,1.333333333,-1,0.777777778,-0.111111111,1.111111111,"ramping up,ramping down,grainy,regular","uncomfortable,mechanical,comfortable,calm,pleasant","snoring,engine,coming or going,breathing",,-0.16426,0.10156,-0.018051,0.50524,-0.17678,-0.1616,-0.05861,0.44856,-0.12744,-0.12945
v-10-29-4-22,118,0.888888889,1.444444444,-0.888888889,1.555555556,1.555555556,"discontinuous,complex,dynamic,irregular,ramping up,smooth","surprising,interesting,unique,strange,mechanical,comfortable,lively","engine,game","speed up,below intended threshold,alarm,above intended threshold",0.35409,0.10393,-0.21509,-0.050978,-0.022394,0.27995,0.16092,0.31173,0.030377,0.38088
